Request Code	Department	Request Group	New Request Type	Business Description	Proposed Workflow	Needs Approval?	Approval Role	Default Priority	First Response SLA	Resolution SLA	Required Fields	Required Documents	Allow Transfer?	Allow Reopen?	Business Decision	Business Comments
CS-GEN-001	Customer Service	General Inquiries	General Inquiry	General customer inquiry that does not belong to a specialized request type.	CS Queue → Agent → Resolve → Close	No		Normal	4 business hours	1 business day	Customer, Project/Unit if applicable, Description	None	Yes	Yes		
CS-GEN-002	Customer Service	General Inquiries	Office Hours / Contact Information	Office hours, contact details and general service information.	CS Queue → Agent → Resolve → Close	No		Low	4 business hours	Same business day	Customer/Contact, Description	None	Yes	Yes		
CS-GEN-003	Customer Service	General Inquiries	Construction Update	Customer request for project construction/progress update.	CS Queue → Agent → Obtain update if needed → Resolve → Close	No		Normal	4 business hours	1 business day	Customer, Project, Unit if applicable	None	Yes	Yes		
CS-CMP-001	Customer Service	Complaints & Feedback	Complaint	Formal customer complaint requiring follow-up and possible escalation.	CS Queue → Agent → Escalate if needed → Resolve → Close	Conditional	CS Supervisor / Manager	High	2 business hours	2 business days	Customer, Project/Unit, Complaint details	Supporting evidence if available	Yes	Yes		
CS-CMP-002	Customer Service	Complaints & Feedback	Feedback / Suggestion	Customer feedback, suggestion or service improvement request.	CS Queue → Agent → Record/route → Resolve → Close	No		Low	4 business hours	1 business day	Customer, Feedback details	None	Yes	Yes		
REG-NOC-001	Customer Service	NOC	NOC for Resale	Request to issue NOC for property resale.	CS Queue → CS Agent →Acounting→CS Agentt → Resolve → Close	Conditional	Registration Supervisor / Authorized Approver	Normal	4 business hours	2 business days	Customer, Project, Unit, Request details	Required resale NOC documents	Yes	Yes		
REG-NOC-002	Customer Service	NOC	NOC for Golden Visa	Request to issue NOC/supporting letter for Golden Visa.	CS Queue → CS Agent →Acounting→CS Agentt → Resolve → Close	Conditional	Registration Supervisor / Authorized Approver	Normal	4 business hours	2 business days	Customer, Project, Unit	Required Golden Visa/NOC documents	Yes	Yes		
REG-NOC-003	Customer Service	NOC	NOC for Mortgage	Request to issue NOC for mortgage-related processing.	CS Queue → CS Agent →Acounting→CS Agentt → Resolve → Close	Conditional	Registration Supervisor / Authorized Approver	Normal	4 business hours	2 business days	Customer, Project, Unit	Required mortgage/NOC documents	Yes	Yes		
REG-CON-001	Registration	Contracts / DLD	SPA / Contract Inquiry	Inquiry regarding Sales & Purchase Agreement or contract details.	Registration Queue → Agent → Review → Resolve → Close	No		Normal	4 business hours	1 business day	Customer, Project, Unit, Contract reference	Contract if needed	Yes	Yes		
REG-DLD-001	Registration	Contracts / DLD	Ownership Transfer / Title Deed Inquiry	Inquiry regarding ownership transfer, title deed or pre-title deed.	Registration Queue → Agent → Review DLD/registration status → Resolve → Close	No		Normal	4 business hours	1 business day	Customer, Project, Unit	Relevant ownership/title documents if needed	Yes	Yes		
COL-PAY-001	Collections	Payments & Collection	Payment / Outstanding Balance Inquiry	Inquiry about customer payments, due amounts or outstanding balance.	Collections Queue → Agent → Review account → Resolve → Close	No		Normal	4 business hours	1 business day	Customer, Project, Unit	Payment proof if applicable	Yes	Yes		
COL-PAY-002	Collections	Payments & Collection	Returned Cheque	Follow-up for a returned/bounced cheque.	Collections Queue → Agent → Follow-up → Escalate if needed → Resolve → Close	Conditional	Collections Supervisor / Manager	High	2 business hours	1 business day	Customer, Project, Unit, Cheque details	Cheque copy / bank return document	Yes	Yes		
COL-PAY-003	Collections	Payments & Collection	Cheque Collection	Request or inquiry related to cheque collection.	Collections Queue → Agent → Confirm cheque/collection → Resolve → Close	No		Normal	4 business hours	1 business day	Customer, Project, Unit, Cheque details	Cheque details if applicable	Yes	Yes		
COL-PAY-004	Collections	Payments & Collection	Payment Cheque Inquiry	General inquiry regarding a payment cheque.	Collections Queue → Agent → Review → Resolve → Close	No		Normal	4 business hours	1 business day	Customer, Project, Unit, Cheque details	Cheque copy if required	Yes	Yes		
HO-NOC-001	Customer Service	Handover	NOC for Handover	Request for NOC required before handover.	CS Queue →Agent→Acounting→ CS Agent → Handover Agent → Resolve → Close	Conditional	Handover Supervisor / Authorized Approver	Normal	4 business hours	2 business days	Customer, Project, Unit	Required clearance/NOC documents	Yes	Yes		
HO-HND-001	Handover	Handover	Coordinate Handover	Coordinate and follow up the property handover process.	Handover Queue → Agent → Coordinate → Resolve → Close	No		Normal	4 business hours	1 business day	Customer, Project, Unit	Handover documents if applicable	Yes	Yes		
HO-HND-002	Handover	Handover	Schedule Handover Appointment	Schedule or reschedule a handover appointment.	Handover Queue → Agent → Confirm available slot → Resolve → Close	No		Normal	4 business hours	1 business day	Customer, Project, Unit, Preferred date/time	None	Yes	Yes		
HO-HND-003	Handover	Handover	Move-In / Move-Out	Request related to move-in or move-out coordination for handed-over properties.	Handover Queue → Agent → Coordinate requirements → Resolve → Close	No		Normal	4 business hours	1 business day	Customer, Project, Unit, Move date	Required move-in/out documents if applicable	Yes	Yes		
HO-HND-004	Handover	Handover	Handover Maintenance Follow-up	Maintenance issue identified during or after handover requiring follow-up.	Handover Queue → Facilities Management if needed → Follow-up → Resolve → Close	No		Normal	4 business hours	Based on issue severity	Customer, Project, Unit, Issue details	Photos/supporting evidence if available	Yes	Yes		
FM-MNT-001	Facilities Management	Maintenance	Repair / Maintenance Request	Repair or maintenance request for a property/unit.	FM Queue → Assign Agent/Technician → In Progress → Resolve → Close	No		Normal	2 business hours	Based on severity	Customer, Project, Unit, Issue type, Description	Photos if available	Yes	Yes		
